 height   mass  gender
 172.95  82.38   Male 
 180.32  92.86   Male 
 188.52  104.82  Male 
 176.09  84.47   Male 
 164.93  82.13   Male 
 173.60  90.21   Male 
 180.16  92.23   Male 
 156.15  73.03   Male 
 173.97  86.08   Male 
 183.01  90.79   Male 
 184.21  100.62  Male 
 180.93  97.08   Male 
 183.54  91.47   Male 
 171.62  84.89   Male 
 183.56  89.13   Male 
 159.00  68.81   Male 
 168.24  75.87   Male 
 176.91  90.18   Male 
 175.99  81.08   Male 
 179.64  87.77   Male 
 174.82  89.68   Male 
 167.68  83.66   Male 
 168.69  70.38   Male 
 169.20  73.01   Male 
 172.81  85.75   Male 
 179.08  78.45   Male 
 175.66  88.84   Male 
 179.82  97.84   Male 
 165.59  75.60   Male 
 189.96  108.60  Male 
 180.51  83.57   Male 
 176.11  90.70   Male 
 177.54  86.81   Male 
 163.64  76.69   Male 
 172.34  88.32   Male 
 171.57  83.11   Male 
 189.91  95.41   Male 
 181.40  89.82   Male 
 170.49  78.31   Male 
 177.44  89.37   Male 
 173.81  86.40   Male 
 172.55  83.70   Male 
 173.98  81.60   Male 
 165.72  72.34   Male 
 178.27  89.74   Male 
 180.60  98.53   Male 
 173.86  85.22   Male 
 166.17  80.21   Male 
 171.96  83.97   Male 
 188.53  101.27  Male 
 180.76  93.85   Male 
 170.77  77.56   Male 
 172.42  79.47   Male 
 171.14  78.60   Male 
 174.65  82.14   Male 
 182.13  91.89   Male 
 176.23  90.64   Male 
 187.24  101.37  Male 
 176.41  99.44   Male 
 179.80  95.79   Male 
 182.29  91.07   Male 
 176.13  94.70   Male 
 165.83  73.21   Male 
 180.14  94.26   Male 
 174.24  82.01   Male 
 174.25  80.19   Male 
 176.48  88.26   Male 
 167.46  73.93   Male 
 174.05  78.58   Male 
 187.78  97.79   Male 
 180.84  95.30   Male 
 169.05  83.92   Male 
 182.23  85.25   Male 
 177.15  85.34   Male 
 169.55  81.42   Male 
 177.02  96.02   Male 
 178.82  89.66   Male 
 175.31  84.48   Male 
 164.42  75.33   Male 
 180.34  85.63   Male 
 163.73  73.19   Male 
 177.16  87.74   Male 
 181.68  85.84   Male 
 173.55  94.23   Male 
 179.74  90.40   Male 
 181.40  95.17   Male 
 176.25  81.71   Male 
 182.88  88.99   Male 
 175.75  85.91   Male 
 168.06  75.06   Male 
 170.87  82.72   Male 
 180.13  85.97   Male 
 175.56  86.00   Male 
 171.22  77.18   Male 
 185.26  98.00   Male 
 179.05  80.30   Male 
 175.28  88.91   Male 
 169.58  76.05   Male 
 175.57  81.45   Male 
 185.74  100.07  Male 
 171.42  74.51   Male 
 164.99  71.00   Male 
 172.17  83.30   Male 
 171.86  77.24   Male 
 168.85  76.47   Male 
 185.39  95.07   Male 
 176.69  88.59   Male 
 180.35  88.13   Male 
 177.59  99.49   Male 
 182.11  93.04   Male 
 171.83  81.13   Male 
 173.47  82.41   Male 
 174.47  92.32   Male 
 175.05  74.90   Male 
 175.16  89.76   Male 
 170.81  78.59   Male 
 175.05  83.42   Male 
 167.23  63.28   Male 
 164.26  72.65   Male 
 168.39  74.20   Male 
 170.43  87.96   Male 
 170.18  86.12   Male 
 180.24  83.55   Male 
 173.79  86.53   Male 
 171.84  85.35   Male 
 192.08  102.59  Male 
 179.20  89.74   Male 
 174.98  86.40   Male 
 173.44  79.93   Male 
 165.09  80.60   Male 
 166.56  78.77   Male 
 176.04  95.45   Male 
 166.89  77.14   Male 
 172.22  78.67   Male 
 175.81  83.87   Male 
 172.76  88.11   Male 
 157.29  67.64   Male 
 170.86  87.29   Male 
 171.90  81.52   Male 
 177.73  92.00   Male 
 165.90  74.08   Male 
 182.64  98.43   Male 
 168.23  83.07   Male 
 167.17  75.55   Male 
 185.03  93.08   Male 
 180.21  86.03   Male 
 181.21  99.13   Male 
 180.48  92.13   Male 
 157.29  63.45   Male 
 174.66  89.02   Male 
 171.66  81.60   Male 
 171.10  74.44   Male 
 167.33  76.27   Male 
 174.48  86.05   Male 
 176.62  88.51   Male 
 169.25  86.38   Male 
 177.32  92.71   Male 
 174.45  88.96   Male 
 181.90  95.09   Male 
 177.01  86.59   Male 
 180.09  89.77   Male 
 172.73  84.71   Male 
 179.36  85.56   Male 
 181.79  79.99   Male 
 185.45  94.93   Male 
 154.30  61.75   Male 
 175.47  86.59   Male 
 176.12  86.82   Male 
 172.10  83.87   Male 
 193.11  105.36  Male 
 183.46  91.51   Male 
 175.06  85.41   Male 
 165.95  79.21   Male 
 167.47  83.42   Male 
 178.99  85.04   Male 
 185.88  96.98   Male 
 174.12  79.46   Male 
 174.06  76.89   Male 
 161.53  65.57   Male 
 170.55  79.67   Male 
 179.87  89.43   Male 
 186.77  101.10  Male 
 168.00  75.01   Male 
 172.48  77.29   Male 
 181.44  98.25   Male 
 170.47  78.78   Male 
 186.14  98.82   Male 
 161.73  73.02   Male 
 175.83  87.87   Male 
 176.96  80.33   Male 
 179.03  92.89   Male 
 175.27  80.15   Male 
 173.88  87.42   Male 
 167.70  75.72   Male 
 176.07  84.69   Male 
 175.46  85.49   Male 
 186.85  94.50   Male 
 167.86  73.24   Male 
 186.76  97.49   Male 
 176.98  93.03   Male 
 169.36  83.08   Male 
 185.32  94.74   Male 
 173.35  94.30   Male 
 182.77  95.54   Male 
 180.49  92.64   Male 
 170.12  88.53   Male 
 173.93  86.48   Male 
 181.06  90.54   Male 
 165.05  75.66   Male 
 169.58  81.09   Male 
 174.67  84.25   Male 
 175.24  87.87   Male 
 181.09  103.76  Male 
 175.39  87.23   Male 
 169.02  79.81   Male 
 174.03  79.88   Male 
 171.35  80.49   Male 
 181.25  91.50   Male 
 174.22  80.20   Male 
 177.13  84.14   Male 
 177.38  85.28   Male 
 183.92  85.89   Male 
 166.20  75.33   Male 
 168.32  77.21   Male 
 177.73  96.51   Male 
 180.87  88.95   Male 
 177.64  91.74   Male 
 181.32  91.31   Male 
 164.06  71.86   Male 
 174.73  79.13   Male 
 173.85  83.35   Male 
 175.77  85.31   Male 
 176.34  79.91   Male 
 176.80  88.07   Male 
 185.12  88.07   Male 
 157.93  66.17   Male 
 174.94  87.00   Male 
 180.54  95.17   Male 
 183.34  91.28   Male 
 183.04  94.69   Male 
 171.15  82.85   Male 
 172.55  75.48   Male 
 179.84  87.71   Male 
 166.49  80.93   Male 
 178.29  93.40   Male 
 182.32  90.34   Male 
 173.05  87.09   Male 
 173.63  79.48   Male 
 167.87  77.10   Male 
 181.81  93.13   Male 
 186.78  88.91   Male 
 180.63  94.40   Male 
 179.82  92.01   Male 
 182.19  85.53   Male 
 160.52  73.66   Male 
 172.98  82.93   Male 
 167.27  71.35   Male 
 173.60  81.03   Male 
 176.68  84.91   Male 
 174.57  77.83   Male 
 178.20  90.95   Male 
 175.07  87.95   Male 
 163.32  70.52   Male 
 178.96  87.31   Male 
 174.31  72.50   Male 
 176.95  79.94   Male 
 175.41  77.87   Male 
 170.76  82.41   Male 
 167.93  77.73   Male 
 174.29  81.24   Male 
 175.89  85.02   Male 
 176.89  82.54   Male 
 184.90  97.27   Male 
 190.61  94.57   Male 
 180.27  86.27   Male 
 188.95  98.48   Male 
 163.48  70.78   Male 
 181.17  93.60   Male 
 170.62  80.79   Male 
 188.98  103.78  Male 
 162.22  79.13   Male 
 174.97  74.47   Male 
 183.22  96.22   Male 
 173.75  93.43   Male 
 165.34  75.93   Male 
 175.84  88.53   Male 
 182.75  94.86   Male 
 171.36  82.68   Male 
 176.05  86.25   Male 
 161.88  72.72   Male 
 154.13  58.64   Male 
 179.48  88.72   Male 
 171.69  84.69   Male 
 189.61  103.17  Male 
 178.99  89.43   Male 
 182.74  95.04   Male 
 188.03  95.13   Male 
 179.79  99.97   Male 
 164.41  76.74   Male 
 173.69  84.28   Male 
 181.53  87.39   Male 
 170.04  80.28   Male 
 179.82  90.68   Male 
 165.84  76.51   Male 
 156.86  56.02   Male 
 158.70  72.67   Male 
 172.23  89.38   Male 
 176.60  73.46   Male 
 184.15  91.45   Male 
 179.03  88.34   Male 
 169.39  73.73   Male 
 181.08  79.73   Male 
 182.36  94.96   Male 
 185.56  92.73   Male 
 174.89  95.63   Male 
 167.76  76.79   Male 
 187.92  101.28  Male 
 175.90  87.50   Male 
 176.13  78.41   Male 
 180.28  86.88   Male 
 161.45  71.26   Male 
 177.22  82.90   Male 
 165.58  68.88   Male 
 177.75  87.68   Male 
 177.17  84.09   Male 
 180.78  88.61   Male 
 179.25  79.00   Male 
 166.75  74.67   Male 
 170.53  74.31   Male 
 167.43  79.24   Male 
 187.42  96.55   Male 
 172.05  78.36   Male 
 166.48  78.00   Male 
 180.88  88.85   Male 
 166.60  79.28   Male 
 166.80  79.17   Male 
 157.41  63.62   Male 
 187.71  97.76   Male 
 183.75  97.89   Male 
 178.59  83.56   Male 
 170.47  76.28   Male 
 167.47  68.66   Male 
 170.76  84.34   Male 
 178.09  92.17   Male 
 190.10  101.56  Male 
 163.90  67.33   Male 
 177.93  93.97   Male 
 182.46  93.06   Male 
 185.01  94.98   Male 
 186.19  90.33   Male 
 168.64  74.86   Male 
 168.95  81.98   Male 
 175.95  91.75   Male 
 173.31  88.55   Male 
 178.85  83.55   Male 
 177.11  85.47   Male 
 166.40  71.29   Male 
 175.61  89.14   Male 
 187.11  94.50   Male 
 167.37  71.74   Male 
 173.62  83.72   Male 
 178.88  89.75   Male 
 183.08  92.00   Male 
 182.15  90.29   Male 
 166.95  70.85   Male 
 162.30  76.33   Male 
 178.60  91.39   Male 
 167.10  79.18   Male 
 177.36  89.31   Male 
 173.56  89.69   Male 
 172.06  75.12   Male 
 190.59  105.62  Male 
 186.45  87.41   Male 
 176.67  87.16   Male 
 163.93  71.26   Male 
 171.57  74.15   Male 
 185.67  93.04   Male 
 169.05  77.75   Male 
 187.94  94.77   Male 
 179.99  95.13   Male 
 181.78  93.54   Male 
 167.23  80.37   Male 
 178.50  96.02   Male 
 156.90  67.81   Male 
 190.06  99.93   Male 
 181.88  87.27   Male 
 170.84  74.10   Male 
 180.15  90.60   Male 
 190.65  99.13   Male 
 185.68  101.23  Male 
 179.48  98.84   Male 
 170.55  77.65   Male 
 170.49  66.91   Male 
 176.59  77.11   Male 
 165.67  72.94   Male 
 173.76  83.96   Male 
 174.66  80.31   Male 
 172.56  85.66   Male 
 175.86  72.22   Male 
 173.90  85.30   Male 
 166.86  68.46   Male 
 176.35  78.15   Male 
 167.98  75.45   Male 
 180.03  84.51   Male 
 167.57  85.11   Male 
 164.95  74.32   Male 
 173.66  89.32   Male 
 176.59  86.04   Male 
 168.80  85.70   Male 
 176.47  80.43   Male 
 174.57  83.51   Male 
 187.40  100.34  Male 
 194.31  98.81   Male 
 180.91  90.33   Male 
 163.85  74.60   Male 
 168.92  74.05   Male 
 175.79  85.09   Male 
 161.41  68.18   Male 
 177.12  91.93   Male 
 174.26  82.41   Male 
 181.52  93.69   Male 
 176.55  92.51   Male 
 187.35  105.04  Male 
 173.43  88.52   Male 
 184.03  90.83   Male 
 179.75  88.60   Male 
 178.95  85.31   Male 
 175.02  88.28   Male 
 175.87  89.53   Male 
 170.89  70.94   Male 
 181.52  94.23   Male 
 174.86  77.97   Male 
 181.37  98.38   Male 
 178.17  86.43   Male 
 179.53  93.48   Male 
 174.09  91.21   Male 
 181.44  93.69   Male 
 165.66  72.10   Male 
 179.76  94.43   Male 
 177.19  85.18   Male 
 162.46  76.35   Male 
 178.57  89.27   Male 
 178.60  93.21   Male 
 171.21  74.64   Male 
 170.49  75.82   Male 
 173.68  76.64   Male 
 176.73  83.55   Male 
 158.83  76.26   Male 
 176.12  83.50   Male 
 169.64  78.08   Male 
 191.49  99.14   Male 
 178.34  86.01   Male 
 180.60  89.23   Male 
 177.28  82.41   Male 
 168.84  79.54   Male 
 179.61  94.65   Male 
 161.59  73.78   Male 
 179.20  86.77   Male 
 171.20  87.38   Male 
 181.45  96.75   Male 
 174.23  84.99   Male 
 181.49  92.27   Male 
 179.57  86.16   Male 
 181.33  89.48   Male 
 179.03  87.69   Male 
 189.00  102.81  Male 
 161.04  83.99   Male 
 173.74  77.70   Male 
 171.27  79.42   Male 
 179.86  88.99   Male 
 170.46  88.32   Male 
 172.03  83.66   Male 
 174.12  81.43   Male 
 174.29  87.35   Male 
 179.34  89.50   Male 
 170.40  74.46   Male 
 165.89  75.89   Male 
 177.61  84.29   Male 
 173.65  87.97   Male 
 180.01  93.36   Male 
 193.07  106.77  Male 
 172.63  80.26   Male 
 177.20  90.26   Male 
 176.70  91.02   Male 
 181.76  97.04   Male 
 180.23  91.46   Male 
 166.22  65.37   Male 
 180.28  91.88   Male 
 172.70  83.43   Male 
 179.12  90.51   Male 
 175.54  79.84   Male 
 181.88  88.40   Male 
 177.52  92.30   Male 
 168.80  75.59   Male 
 178.54  94.11   Male 
 159.05  69.32   Male 
 169.22  66.32   Male 
 165.99  71.09   Male 
 181.88  95.22   Male 
 176.31  83.40   Male 
 177.53  91.06   Male 
 166.79  74.47   Male 
 163.60  70.13   Male 
 174.31  85.92   Male 
 176.78  80.09   Male 
 171.33  78.58   Male 
 173.15  84.02   Male 
 176.67  92.43   Male 
 167.00  82.56   Male 
 185.73  91.48   Male 
 169.22  80.65   Male 
 175.63  91.89   Male 
 167.55  84.46   Male 
 170.70  84.11   Male 
 166.25  79.75   Male 
 185.50  95.05   Male 
 173.53  81.35   Male 
 168.49  75.00   Male 
 183.80  89.92   Male 
 172.00  83.87   Male 
 179.01  90.82   Male 
 180.75  90.45   Male 
 176.16  91.76   Male 
 178.05  91.61   Male 
 176.02  89.51   Male 
 160.81  71.20   Male 
 172.43  83.15   Male 
 185.94  92.07   Male 
 185.78  87.95   Male 
 180.08  88.71   Male 
 183.24  97.44   Male 
 183.22  83.51   Male 
 180.86  87.87   Male 
 168.28  77.15   Male 
 183.75  93.29   Male 
 172.90  75.40   Male 
 181.35  89.98   Male 
 166.94  76.95   Male 
 170.46  72.59   Male 
 183.43  92.94   Male 
 160.04  67.08   Male 
 176.71  82.06   Male 
 178.83  98.79   Male 
 172.80  85.88   Male 
 177.24  79.86   Male 
 157.68  59.08   Male 
 167.22  72.25   Male 
 179.78  87.06   Male 
 176.71  82.61   Male 
 171.01  85.42   Male 
 172.25  86.97   Male 
 169.37  73.82   Male 
 176.88  89.61   Male 
 164.53  82.81   Male 
 187.87  90.71   Male 
 172.55  83.63   Male 
 169.60  75.05   Male 
 175.10  80.11   Male 
 194.14  103.80  Male 
 175.25  81.79   Male 
 186.69  102.48  Male 
 176.79  86.08   Male 
 183.05  91.73   Male 
 179.04  81.14   Male 
 170.27  75.76   Male 
 168.11  78.29   Male 
 174.48  81.62   Male 
 169.30  72.63   Male 
 177.39  80.90   Male 
 168.26  70.11   Male 
 184.94  94.72   Male 
 163.77  76.84   Male 
 177.18  82.38   Male 
 179.48  92.45   Male 
 184.08  83.65   Male 
 173.16  90.57   Male 
 185.39  93.71   Male 
 179.16  89.15   Male 
 177.92  86.17   Male 
 175.30  89.24   Male 
 186.81  100.82  Male 
 173.02  81.66   Male 
 173.45  80.92   Male 
 181.68  91.95   Male 
 186.43  100.20  Male 
 177.41  90.08   Male 
 178.19  92.40   Male 
 168.40  68.09   Male 
 194.29  103.01  Male 
 180.42  84.70   Male 
 169.24  77.29   Male 
 167.83  82.73   Male 
 179.36  85.02   Male 
 165.62  71.96   Male 
 169.83  79.73   Male 
 187.35  100.12  Male 
 177.54  88.78   Male 
 176.60  85.73   Male 
 169.53  69.90   Male 
 175.45  81.35   Male 
 174.15  78.09   Male 
 178.62  86.38   Male 
 182.75  94.37   Male 
 180.13  87.02   Male 
 178.74  89.52   Male 
 172.20  86.02   Male 
 174.50  94.36   Male 
 175.55  85.59   Male 
 171.95  85.00   Male 
 181.05  98.82   Male 
 181.43  91.54   Male 
 180.45  92.80   Male 
 164.40  65.01   Male 
 170.56  82.55   Male 
 183.62  91.66   Male 
 178.42  87.44   Male 
 163.72  72.07   Male 
 189.14  96.82   Male 
 165.86  73.84   Male 
 184.78  96.23   Male 
 166.92  70.37   Male 
 174.98  88.29   Male 
 185.52  95.00   Male 
 177.45  89.94   Male 
 177.45  81.48   Male 
 182.28  87.39   Male 
 169.72  81.54   Male 
 172.18  86.40   Male 
 175.90  88.95   Male 
 175.08  82.01   Male 
 175.25  84.64   Male 
 168.59  76.09   Male 
 168.60  81.39   Male 
 175.40  82.25   Male 
 166.80  73.21   Male 
 159.39  67.92   Male 
 169.11  73.11   Male 
 170.87  84.97   Male 
 177.38  79.82   Male 
 188.51  108.19  Male 
 180.93  94.80   Male 
 179.74  88.34   Male 
 172.41  74.25   Male 
 170.47  82.77   Male 
 169.01  79.41   Male 
 170.41  82.03   Male 
 174.99  78.30   Male 
 182.58  94.14   Male 
 179.15  87.99   Male 
 175.79  85.20   Male 
 169.81  73.12   Male 
 195.99  103.72  Male 
 173.22  80.03   Male 
 169.66  84.80   Male 
 188.14  99.06   Male 
 177.02  83.73   Male 
 179.03  90.41   Male 
 168.16  74.66   Male 
 182.52  87.72   Male 
 167.58  77.59   Male 
 184.60  98.67   Male 
 177.32  85.29   Male 
 175.37  80.81   Male 
 162.18  68.93   Male 
 164.87  65.84   Male 
 165.22  66.97   Male 
 174.94  83.19   Male 
 177.75  80.88   Male 
 159.28  69.31   Male 
 169.99  78.75   Male 
 170.86  81.65   Male 
 183.19  90.86   Male 
 176.81  77.23   Male 
 165.57  75.62   Male 
 188.16  88.34   Male 
 155.25  69.29   Male 
 173.54  93.62   Male 
 162.44  74.73   Male 
 174.20  82.16   Male 
 164.91  83.90   Male 
 176.94  95.02   Male 
 180.65  89.50   Male 
 159.52  67.39   Male 
 179.86  91.26   Male 
 176.66  90.34   Male 
 170.26  85.47   Male 
 171.19  80.86   Male 
 176.20  78.65   Male 
 189.34  99.06   Male 
 169.05  78.63   Male 
 170.84  84.50   Male 
 167.64  74.91   Male 
 170.90  92.13   Male 
 172.53  73.32   Male 
 167.79  74.59   Male 
 167.25  77.46   Male 
 175.34  77.24   Male 
 178.63  87.30   Male 
 169.00  75.45   Male 
 181.54  89.13   Male 
 177.92  83.27   Male 
 174.26  84.94   Male 
 175.22  80.85   Male 
 187.42  100.86  Male 
 175.44  86.43   Male 
 185.90  92.56   Male 
 174.44  87.16   Male 
 164.90  81.36   Male 
 167.92  87.42   Male 
 172.08  76.98   Male 
 182.41  87.45   Male 
 175.76  84.23   Male 
 171.21  85.53   Male 
 177.49  81.49   Male 
 163.49  73.69   Male 
 171.43  83.17   Male 
 185.73  100.43  Male 
 171.84  85.66   Male 
 174.09  86.99   Male 
 179.64  97.17   Male 
 173.30  82.71   Male 
 171.95  74.35   Male 
 187.24  90.01   Male 
 174.90  84.99   Male 
 168.84  79.79   Male 
 177.73  85.54   Male 
 171.59  91.06   Male 
 188.65  95.21   Male 
 183.12  91.55   Male 
 176.71  82.90   Male 
 181.90  93.50   Male 
 170.53  77.95   Male 
 173.78  77.70   Male 
 198.36  115.96  Male 
 174.35  81.10   Male 
 177.87  84.52   Male 
 188.79  100.16  Male 
 183.47  91.67   Male 
 171.87  87.57   Male 
 168.72  71.33   Male 
 165.28  81.98   Male 
 175.66  93.66   Male 
 172.23  81.63   Male 
 173.33  87.97   Male 
 184.27  92.35   Male 
 188.10  96.02   Male 
 186.02  91.20   Male 
 185.01  96.24   Male 
 173.41  76.15   Male 
 177.98  93.92   Male 
 182.22  84.28   Male 
 174.43  78.39   Male 
 178.26  83.77   Male 
 170.04  82.71   Male 
 171.90  85.40   Male 
 172.48  76.50   Male 
 170.69  78.68   Male 
 170.17  80.75   Male 
 167.72  78.94   Male 
 172.25  87.10   Male 
 181.48  86.70   Male 
 178.00  85.98   Male 
 187.25  95.34   Male 
 168.63  72.28   Male 
 173.22  86.11   Male 
 173.42  79.90   Male 
 167.49  80.40   Male 
 169.85  77.24   Male 
 168.14  75.25   Male 
 186.19  105.33  Male 
 175.98  93.82   Male 
 182.30  90.86   Male 
 161.64  74.04   Male 
 183.29  85.67   Male 
 182.89  94.12   Male 
 173.14  78.67   Male 
 175.48  86.10   Male 
 170.66  77.05   Male 
 161.58  72.92   Male 
 182.17  95.70   Male 
 179.01  87.92   Male 
 185.08  98.56   Male 
 173.13  80.16   Male 
 176.99  92.21   Male 
 160.02  75.08   Male 
 182.27  96.03   Male 
 181.94  91.38   Male 
 180.50  91.01   Male 
 178.09  85.96   Male 
 178.94  93.65   Male 
 174.10  78.59   Male 
 181.19  100.28  Male 
 170.64  77.02   Male 
 185.69  99.68   Male 
 180.05  82.94   Male 
 182.65  89.83   Male 
 186.87  98.24   Male 
 177.30  92.18   Male 
 179.39  84.01   Male 
 168.44  67.24   Male 
 178.48  87.21   Male 
 180.29  93.66   Male 
 178.60  82.44   Male 
 181.64  96.48   Male 
 180.34  88.87   Male 
 169.41  70.35   Male 
 184.55  94.11   Male 
 168.94  82.51   Male 
 169.11  74.43   Male 
 169.48  84.04   Male 
 176.01  80.81   Male 
 173.54  80.91   Male 
 167.13  73.48   Male 
 178.11  98.61   Male 
